MIBiG name	MIBiG SMILES	MIBiG Inchikey	MIBiG BGC ID	NPAID	NPA name	Curated name	Curated SMILES	Curated Source Database ID	Curated doi	Curated origin	Notes
5-Acetyl-5,10-dihydrophenazine-1-carboxylic acid	CC(C1=C2C(N(C(C)=O)C(C=CC=C3)=C3N2)=CC=C1)=O	CLVFHWSGGUBRHR-UHFFFAOYSA-N	BGC0000934	NPA014023	5-acetyl-5,10-dihydrophenazine-1-carboxylic acid						
5-(2-Hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid	CC(C1=C2C(N(C(CO)=O)C(C=CC=C3)=C3N2)=CC=C1)=O	BKBDEBMPBCUSSN-UHFFFAOYSA-N	BGC0000934	NPA013457	5-(2-hydroxyacetyl)-5,10-dihydrophenazine-1-carboxylic acid						
endophenazine A1	CC(C1=C2C(N=C(C=CC=C3C/C=C(CO)\\C)C3=N2)=CC=C1)=O	NOVIQVMWNXCLRC-FMIVXFBMSA-N	BGC0000934	NPA018141	Endophenazine A1						
endophenazine F	CC(C1=C2C(N(C/C=C(C)/C)C(C3=N2)=CC(C=C3C/C=C(C)\\C)=O)=CC=C1)=O	GZZUFEKCYDTMCX-UHFFFAOYSA-N	BGC0000934	NPA015423	Endophenazine F						
endophenazine G	CC(C1=C2C(N=C(C=CC=C3/C=C/C(C)(O)C)C3=N2)=CC=C1)=O	ZTGDNOMJBWFJON-ZHACJKMWSA-N	BGC0000934	NPA011461	Endophenazine G						
Esmareldine A			BGC0000935			Esmareldine A	OC(C1=CC=CC2=C1NC3=CC=CC4=C3N2C(C=C(C(O)=O)C5=C6N=C7C(C=CC=C7C(OC(CCCCCCCCCCCCC)=O)C)=N5)=C6C4C)=O		https://doi.org/10.1002/hlca.19880710824	Sterptomyces antibioticus Tü 2706	
Esmareldine B			BGC0000935			Esmareldine B	OC(C1=CC=CC2=C1NC3=CC=CC4=C3N2C(C=C(C(O)=O)C5=C6N=C7C(C=CC=C7C(OC(C8=C(C)C=CC=C8O)=O)C)=N5)=C6C4C)=O		https://doi.org/10.1002/hlca.19880710824	Sterptomyces antibioticus Tü 2706	
pyocyanine	CN1C2=CC=CC=C2N=C3C1=CC=CC3=O	YNCMLFHHXWETLD-UHFFFAOYSA-N	BGC0000936	NPA000489	Pyocyanine						
fosfazinomycin A			BGC0000937			fosfazinomycin A	CC(C)[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)NN(C)[P+](C(C(=O)OC)O)(O)[O-])N	101613178	https://doi.org/10.1016/S0040-4039(00)81904-8	Streptomyces lavendofoliae 	
fosfazinomycin B			BGC0000937			fosfazinomycin B	CN(NC(=O)[C@H](CCCN=C(N)N)N)P(=O)(C(C(=O)OC)O)O	14303332	https://doi.org/10.1016/S0040-4039(00)81904-8	Streptomyces lavendofoliae 	
Fosfomycin	C[C@H]1[C@H](O1)P(=O)([O-])[O-].[Na+].[Na+]	QZIQJIKUVJMTDG-JSTPYPERSA-L	BGC0000938								First isolation from bacteria hard to find
aerobactin	CC(=O)N(CCCC[C@@H](C(=O)O)NC(=O)CC(CC(=O)N[C@@H](CCCCN(C(=O)C)O)C(=O)O)(C(=O)O)O)O	KDHHWXGBNUCREU-HOTGVXAUSA-N	BGC0000939								First isolation from bacteria hard to find
Desferrioxamine B	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O	UBQYURCVBFRUQT-UHFFFAOYSA-N	BGC0000940	NPA009012	Desferrioxamin B						
Desferrioxamine E	C1CCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CC1)O)O)O	NHKCCADZVLTPPO-UHFFFAOYSA-N	BGC0000940						https://doi.org/10.1107/S0108768183002360	Nocardia sp.	
desferrioxamine B	CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O	UBQYURCVBFRUQT-UHFFFAOYSA-N	BGC0000941	NPA009012	Desferrioxamin B						
petrobactin	C1=CC(=C(C=C1/C(=N/CCCNCCCC/N=C(\\O)/CC(O)(C(=O)O)C/C(=N/CCCCNCCC/N=C(\\O)/C2=CC(=C(C=C2)O)O)/O)/O)O)O	GKIMOVAPSAVJHZ-UHFFFAOYSA-N	BGC0000942	NPA010109	Petrobactin						
staphylobactin			BGC0000943								First isolation from bacteria hard to find
Staphyloferrin A	C(C[C@H](C(=O)[O-])NC(=O)CC(CC(=O)[O-])(C(=O)[O-])O)CNC(=O)CC(CC(=O)[O-])(C(=O)[O-])O	VJSIXUQLTJCRCS-PJPOUAMNSA-I	BGC0000944			Staphyloferrin A	O=C(O)[C@H](NC(CC(C(O)=O)(O)CC(O)=O)=O)CCCNC(CC(C(O)=O)(O)CC(O)=O)=O		https://doi.org/10.1111/j.1432-1033.1990.tb19094.x	Staphylococcus hyicus DSM 20459	
vibriobactin	C[C@@H]1[C@H](N/C(=C/2\C=CC=C(C2=O)O)/O1)C(=O)N(CCCNC(=O)C3C(O/C(=C\4/C=CC=C(C4=O)O)/N3)C)CCCNC(=O)C5=C(C(=CC=C5)O)O	SNUNDXZQRUCXRW-KDUQSJINSA-N	BGC0000945								
vibrioferrin			BGC0000946			vibrioferrin	O=C1CCC(O)(C(O)=O)N1[C@@H](C)C(NCCOC(C[C@](C(O)=O)(O)CC(O)=O)=O)=O		https://doi.org/10.1093/oxfordjournals.jbchem.a124432	Vibrio parahaemolyticus	
alpha-galactosylceramide	CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)[C@@H]([C@@H](CCCCCCCCCCCCCC)O)O	VQFKFAKEUMHBLV-BYSUZVQFSA-N	BGC0000948								First isolation from bacteria hard to find
A-500359 A	O[C@@H]1[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(N[C@@H]3C(N[C@H](C)CCC3)=O)=O)=C[C@H](O)[C@@H]2O)O[C@H]1N(C=C4)C(NC4=O)=O	RVEJXOKUHHMFKS-BPJITGRLSA-N	BGC0000949						https://doi.org/10.7164/antibiotics.56.243	Streptomyces griseus SANK 60196.	
A-500359 B	O[C@@H]1[C@H](OC)[C@@]([H])([C@H](C(N)=O)O[C@H]2OC(C(N[C@@H]3C(NCCCC3)=O)=O)=C[C@H](O)[C@@H]2O)O[C@H]1N(C=C4)C(NC4=O)=O	BISOEENGZHMDEO-RLXIHFJVSA-N	BGC0000949			capuramycin			https://doi.org/10.7164/antibiotics.39.1047	Streptomyces griseus 446-S3 	capuramycin is original name
napsamycin A	CC(C(C(=O)N(/C=C/1\CC(C(O1)N2C=CC(=O)NC2=O)O)C(=O)[C@H](CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N)N(C)C(=O)C4CC5=C(CN4)C=CC(=C5)O	AUSWKQLLJQGJQP-RMKGNSTMSA-N	BGC0000950			napsamycin A	CSCCC(C(NC(C(N/C=C1CC(C(N2C=CC(NC2=O)=O)O/1)O)=O)C(N(C(C3CC4=CC(O)=CC=C4CN3)=O)C)C)=O)NC(NC(C(O)=O)CC5=CC=CC(O)=C5)=O		https://doi.org/10.7164/antibiotics.47.595	Streptomyces sp. HIL Y-82, 11372	
napsamycin B	CC1C2=C(CC(N1)C(=O)N(C)C(C)C(C(=O)N(/C=C/3\CC(C(O3)N4C=CC(=O)NC4=O)O)C(=O)[C@H](CCSC)NC(=O)NC(CC5=CC(=CC=C5)O)C(=O)O)N)C=C(C=C2)O	DWXXLGVCFHPQON-UNXMRGBDSA-N	BGC0000950			napsamycin B	CSCCC(C(NC(C(N/C=C1CC(C(N2C=CC(NC2=O)=O)O/1)O)=O)C(N(C(C3CC4=CC(O)=CC=C4C(N3)C)=O)C)C)=O)NC(NC(C(O)=O)CC5=CC=CC(O)=C5)=O		https://doi.org/10.7164/antibiotics.47.595	Streptomyces sp. HIL Y-82, 11372	
napsamycin C	CC(C(C(=O)N/C=C\1/CC(C(O1)N2CCC(=O)NC2=O)O)NC(=O)C(CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N(C)C(=O)C4CC5=C(CN4)C=CC(=C5)O	MFEPAAMYDYMBSN-XHPQRKPJSA-N	BGC0000950	NPA001280	Napsamycin-C						
napsamycin D	CC(C(C(=O)N/C=C\1/CC(C(O1)N2CCC(=O)NC2=O)O)NC(=O)C(CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N(C)C(=O)C4CC5=C(CN4)C=CC(=C5)O	MFEPAAMYDYMBSN-XHPQRKPJSA-N	BGC0000950	NPA012755	Napsamycin-D						
mureidomycin A	CC(C(C(=O)N(/C=C/1\CC(C(O1)N2C=CC(=O)NC2=O)O)C(=O)[C@H](CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N)N(C)C(=O)[C@H](CC4=CC(=CC=C4)O)N	HWCWBPUPNDMKIV-TVJJXTFASA-N	BGC0000950			mureidomycin A	CC([C@H](C(=O)N/C=C/1\CC(C(O1)N2CCC(=O)NC2=O)O)NC(=O)[C@H](CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N(C)C(=O)[C@H](CC4=CC(=CC=C4)O)N		https://doi.org/10.7164/antibiotics.42.667	Streptomyces flavidovirens	
mureidomycin B	CC(C(C(=O)N/C=C/1\CC(C(O1)N2CCC(=O)NC2=O)O)NC(=O)C(CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N(C)C(=O)C(CC4=CC(=CC=C4)O)N	DXBJHRPKFQGVGZ-NCELDCMTSA-N	BGC0000950			mureidomycin B	CC([C@H](C(=O)N/C=C/1\CC(C(O1)N2CCC(=O)NC2=O)O)NC(=O)[C@H](CCSC)NC(=O)NC(CC3=CC(=CC=C3)O)C(=O)O)N(C)C(=O)[C@H](CC4=CC(=CC=C4)O)N	101627952	https://doi.org/10.7164/antibiotics.42.667	Streptomyces flavidovirens	
pacidamycin 1	O[C@@H]([C@H](N1C(NC(C=C1)=O)=O)O/2)CC2=C\NC([C@@H](NC([C@H](C)NC(N[C@@H](CC3=CNC4=C3C=CC=C4)C(O)=O)=O)=O)[C@@H](N(C)C([C@H](CC5=CC=CC(O)=C5)NC([C@@H](N)C)=O)=O)C)=O	PCVKUJRMSUSDPH-DLJJVGNLSA-N	BGC0000951								
pacidamycin 2	C[C@H](N)C(=O)N[C@@H](CC1=CC=CC(O)=C1)C(=O)N(C)[C@@H](C)[C@H](NC(=O)[C@H](C)NC(=O)N[C@@H](CC1=CC=CC=C1)C(O)=O)C(=O)N\C=C1\C[C@@H](O)[C@@H](O1)N1C=CC(=O)NC1=O	KYZRUJUDPCUPII-CHPVFLAQSA-N	BGC0000951								
pacidamycin 3	C[C@H](N)C(=O)N[C@@H](CC1=CC=CC(O)=C1)C(=O)N(C)[C@@H](C)[C@H](NC(=O)[C@H](C)NC(=O)N[C@@H](CC1=CC=CC(O)=C1)C(O)=O)C(=O)N\C=C1\C[C@@H](O)[C@@H](O1)N1C=CC(=O)NC1=O	NMVHSWKLTKXTCN-UEXGXZKGSA-N	BGC0000951								
pacidamycin 4	O[C@@H]([C@H](N1C(NC(C=C1)=O)=O)O/2)CC2=C\NC([C@@H](NC([C@H](C)NC(N[C@@H](CC3=CNC4=C3C=CC=C4)C(O)=O)=O)=O)[C@@H](N(C)C([C@H](CC5=CC=CC(O)=C5)N)=O)C)=O	FMKAVCDWVHHMCG-LONUBGAWSA-N	BGC0000951								
pacidamycin 5	O[C@@H]([C@H](N1C(NC(C=C1)=O)=O)O/2)CC2=C\NC([C@@H](NC([C@H](C)NC(N[C@@H](CC3=CC=CC=C3)C(O)=O)=O)=O)[C@@H](N(C)C([C@H](CC4=CC=CC(O)=C4)N)=O)C)=O	HLICYXJNAMINIS-XRMWKQQBSA-N	BGC0000951								
pacidamycin 6	O[C@@H]([C@H](N1C(NC(C=C1)=O)=O)O/2)CC2=C\NC([C@@H](NC([C@H](C)NC(N[C@@H](CC3=CNC4=C3C=CC=C4)C(O)=O)=O)=O)[C@@H](N(C)C([C@H](CC5=CC=CC(O)=C5)NC(CN)=O)=O)C)=O	SCRSEAIGJNBLQH-PAQIWTBGSA-N	BGC0000951								
pacidamycin 7	O[C@@H]([C@H](N1C(NC(C=C1)=O)=O)O/2)CC2=C\NC([C@@H](NC([C@H](C)NC(N[C@@H](CC3=CC=CC=C3)C(O)=O)=O)=O)[C@@H](N(C)C([C@H](CC4=CC=CC(O)=C4)NC(CN)=O)=O)C)=O	CGWBWZILRDSQJL-WHNYZTKOSA-N	BGC0000951								
pacidamycin D	C[C@@H]([C@@H](C(=O)N/C=C\1/C[C@H]([C@@H](O1)N2C=CC(=O)NC2=O)O)NC(=O)[C@H](C)NC(=O)N[C@@H](CC3=CNC4=CC=CC=C43)C(=O)O)N(C)C(=O)[C@H](C)N	PBFVZISIBPPZNE-SYZWNRCCSA-N	BGC0000951	NPA013130	Pacidamycin D						
pristinamycin	CCC1C(=O)N2CCCC2C(=O)N(C(C(=O)N3CCC(=O)CC3C(=O)NC(C(=O)OC(C(C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CC6=CC=CC=C6)C.C[C@@H]1/C=C/C(=O)NC/C=C/C(=C/[C@H](CC(=O)CC2=NC(=CO2)C(=O)N3CCC=C3C(=O)O[C@@H]1C(C)C)O)/C	MVTQIFVKRXBCHS-GPEZGQFLSA-N	BGC0000952								
amicetin	CC1C(CCC(O1)N2C=CC(=NC2=O)NC(=O)C3=CC=C(C=C3)NC(=O)C(C)(CO)N)OC4C(C(C(C(O4)C)N(C)C)O)O	HDNVYHWHCVTDIV-UHFFFAOYSA-N	BGC0000953	NPA002444	Amicetin						
Ajudazol	C1(C[C@H](C)[C@@H]2OC(=O)C3=C(O)C(C)=CC=C3[C@H]2O)N=C(C(C/C=C\C=C/CC/C=C/CN(C)C(/C=C(\C)/OC)=O)=C)OC=1	CIWQMSHQAVWNOO-OPGPRAPUSA-N	BGC0000954	NPA008161	Ajudazol A						
Althiomycin			BGC0000955			Althiomycin	COC1=CC(=O)N(C1)C(=O)C2CSC(=N2)C(CO)NC(=O)C3=CSC(=CN=O)N3	5464477			
andrimid	C/C=C/C=C/C=C/C(=O)N[C@@H](CC(=O)N[C@@H](C(C)C)C(=O)[C@H]1[C@@H](C(=O)NC1=O)C)C2=CC=CC=C2	OHDXGZAYYBMHCY-QSUIEZAASA-N	BGC0000956	NPA015339	Andrimid						
ansatrienin	CC1C(C/C=C\C=C/C=C\C(CC(=O)NC2=CC(=O)C=C(C2=O)CC/C=C(\C1O)/C)OC)OC(=O)[C@@H](C)NC(=O)C3CCCCC3	WWUVMHRJRCRFSL-XLKWELGCSA-N	BGC0000957	NPA008547	Mycotrienin I						
Antimycin	CCCCCC[C@@H]1[C@H]([C@@H](OC(=O)[C@H]([C@H](OC1=O)C)NC(=O)C2=C(C(=CC=C2)NC=O)O)C)OC(=O)CC(C)C	UIFFUZWRFRDZJC-SBOOETFBSA-N	BGC0000958								
aspyridone A	CC[C@H](C)C[C@H](C)C(=O)C1=C(C(=CNC1=O)C2=CC=C(C=C2)O)O	LIBKJCZUBOETPB-RYUDHWBXSA-N	BGC0000959								
azinomycin B	CC1=CC=CC2=C(C=C(C=C12)OC)C(=O)O[C@H](C(=O)N/C(=C/3\[C@H]([C@@H]([C@H]4N3C4)O)OC(=O)C)/C(=O)N/C(=C/O)/C(=O)C)[C@@]5(CO5)C	QIKVYJOCQXXRSJ-TWEUQPGKSA-N	BGC0000960	NPA011599	Azinomycin B						
bactobolin	C[C@@H](C(=O)N[C@@H]1[C@@H]2[C@H]([C@@H](CC(=C2C(=O)O[C@]1(C)C(Cl)Cl)O)O)O)N	RBCHRRIVFAIGFI-RGBMRXMBSA-N	BGC0000961	NPA005764	Bactobolin						
barbamide	CC(C/C(=C\\C(=O)N(C)C(CC1=CC=CC=C1)C2=NC=CS2)/OC)C(Cl)(Cl)Cl	UGNRFJOMRFTXSQ-DTQAZKPQSA-N	BGC0000962	NPA018714	Barbamide						
bleomycin	CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O	OYVAGSVQBOHSSS-UHFFFAOYSA-O	BGC0000963								
Burkholdac A	O=C(NC(C(C)C)C(O)CC1=O)C(CSSCC/C=C/C2O1)NC(C(NC(C2)=O)CCSC)=O	ZRJPMGCEOCZSQC-GQCTYLIASA-N	BGC0000964								
C-1027	CC1(C(C(C(C(O1)O[C@]23C=CC=C2C#C/C/4=C\C#C[C@H]3OC5=C(C=C(C=C5Cl)[C@H](CC(=O)OC[C@@H]4OC(=O)C6=CC(=CC7=C6NC(=O)C(=C)O7)OC)N)O)O)O)N(C)C)C	DGGZCXUXASNDAC-VXNBTGQKSA-N	BGC0000965	NPA018592	C-1027						
caerulomycin A	COC1=C/C(=C/N=O)/NC(=C1)C2=CC=CC=N2	IPIFYDJKEIWQCW-HJWRWDBZSA-N	BGC0000966	NPA015275	Caerulomycin A						
calyculin A	C[C@H]1[C@@H](C[C@@]2(C([C@H]([C@H](O2)[C@H](C[C@@H]([C@H](C)[C@@H]([C@H](C)/C=C(\C)/C(=C/C=C/C(=C\C#N)/C)/C)O)O)OC)OP(=O)(O)O)(C)C)O[C@H]1C/C=C/C3=COC(=N3)[C@@H](C)CCNC(=O)[C@H]([C@H]([C@H](COC)N(C)C)O)O)O	FKAWLXNLHHIHLA-YCBIHMBMSA-N	BGC0000967								
phosphocalyculin A	COC[C@H](N(C)C)[C@H](O)[C@H](O)C(NCC[C@H](C)C1=NC(/C=C/C[C@H]2[C@@H](C)[C@H](O)CC3(C(C)(C)[C@@H](OP(O)(OP(O)(O)=O)=O)[C@@H]([C@@H](OC)C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\\[N+]#[C-])O3)O2)=CO1)=O	VURQSRZHWNCHNU-CNTALBEGSA-N	BGC0000967								
calyculinamide A			BGC0000967			calyculinamide A	C[C@H]1[C@@H](C[C@@]2(C([C@H]([C@H](O2)[C@H](C[C@@H]([C@H](C)[C@@H]([C@H](C)/C=C(\C)/C(=C/C=C/C(=C/C(=O)N)/C)/C)O)O)OC)OP(=O)(O)O)(C)C)O[C@H]1C/C=C/C3=COC(=N3)[C@@H](C)CCNC(=O)[C@H]([C@H]([C@H](COC)N(C)C)O)O)O	10011292			
dephosphonocalyculin A	COC[C@H](N(C)C)[C@H](O)[C@H](O)C(NCC[C@H](C)C1=NC(/C=C/C[C@H]2[C@@H](C)[C@H](O)CC3(C(C)(C)[C@@H](O)[C@@H]([C@@H](OC)C[C@H](O)[C@H](C)[C@H](O)[C@H](C)/C=C(C)/C(C)=C/C=C/C(C)=C\\[N+]#[C-])O3)O2)=CO1)=O	DOHKICUKNIQGNS-CNTALBEGSA-N	BGC0000967								
chaetoglobosins	CC[C@H]1[C@H]2[C@@H](NC(=O)[C@@]23[C@@H](/C=C/C[C@@H](/C=C(\\[C@H](C(=O)/C=C/C3=O)O)/C)C)[C@H]4[C@@]1(O4)C)[C@@H](C)C5=CNC6=CC=CC=C65	RSYKJHLWNMXRKZ-RVUXUPINSA-N	BGC0000968								
Chondramid A	C1(=O)NC(C2C=CC(O)=CC=2)C(OC)C(OC(C(C)C=C(C)CC(C)C(=O)NC(C)C(=O)N(C)C1CC1C2C=CC=CC=2NC=1)C)=O	IEKCRWAFVYJECW-UHFFFAOYSA-N	BGC0000969	NPA007953	Chondramide A						
Chondrochloren	O(C)[C@@H](C(=O)N/C=C\C1C=CC(O)=C(Cl)C=1)[C@H](O)[C@@H](/C=C(\C)/C(=O)[C@@H](C)[C@@H](O)[C@H](C)CCCC)OC	FYBGSKAWXCBCIQ-JRAUAZSASA-N	BGC0000970	NPA000508	Chondrochloren A						
Cinnabaramide	[H][C@]1([C@@H]([C@]([C@@]2(C)O3)(NC([C@@]2(CCCCCC)[H])=O)C3=O)O)CCCC=C1	KAZLTNBVAYOUNF-MUAMBBPCSA-N	BGC0000971	NPA011227	Cinnabaramide A						
N-myristoyl-D-asparagine	CCCCCCCCCCCCCC(N[C@@H](C(O)=O)CC(N)=O)=O	XCYGCBVZSVXYON-OAHLLOKOSA-N	BGC0000972								
cis-7-tetradecenoyl-D-asparagine	CCCCCCC=CCCCCCC(N[C@@H](C(O)=O)CC(N)=O)=O	DEZZKUXHZGMLCK-OAHLLOKOSA-N	BGC0000972								
(R)-N1-((S)-5-oxohexan-2-yl)-2-tetradecanamidosuccinamide	CCCCCCCCCCCCCC(N[C@@H](C(N[C@@H](C)CCC(C)=O)=O)CC(N)=O)=O	OESNGSQKCCZCKI-PZJWPPBQSA-N	BGC0000972								
collismycin A	COC1=C(/C(=C\\N=O)/NC(=C1)C2=CC=CC=N2)SC	FXPSZLHFJDHOMI-DHZHZOJOSA-N	BGC0000973								
crocacin	C[C@@H](/C=C/C(=C/C(=O)N/C=C\C/C=C\C(=O)NCC(=O)OC)/C)[C@@H]([C@H](C)[C@H](/C=C/C1=CC=CC=C1)OC)OC	XHTUDGVBJDVOEZ-PSXYSELWSA-N	BGC0000974	NPA011357	Crocacin						
cryptophyicin 1	C[C@@H]1CNC(=O)[C@H](NC(=O)/C=C/C[C@H](OC(=O)[C@@H](OC1=O)CC(C)C)[C@H](C)[C@@H]2[C@H](O2)C3=CC=CC=C3)CC4=CC(=C(C=C4)OC)Cl	PSNOPSMXOBPNNV-VVCTWANISA-N	BGC0000975	NPA017944	Cryptophycin-327						
Curacin A	C[C@H]1CC1C2=N[C@@H](CS2)/C=C\CC/C=C/C=C(\C)/CC[C@H](CC=C)OC	LUEYTMPPCOCKBX-ODRFWBCESA-N	BGC0000976	NPA003438	Curacin A						
cyclopiazonic acid	CC(=O)C1=C([C@@H]2[C@@H]3[C@@H](CC4=C5C3=CNC5=CC=C4)C(N2C1=O)(C)C)O	SZINUGQCTHLQAZ-DQYPLSBCSA-N	BGC0000977								
cylindrospermopsin	C[C@H]1[C@H](C[C@@H]2C[C@@H](NC3=NC[C@H]1N23)[C@@H](C4=CC(=O)NC(=O)N4)O)OS(=O)(=O)O	LHJPHMKIGRLKDR-YUQKHPEDSA-N	BGC0000978								
cystothiazole A	C[C@H]([C@H](/C=C/C1=CSC(=N1)C2=CSC(=N2)C(C)C)OC)/C(=C\C(=O)OC)/OC	LRTJMINIVSPVMX-ZVJWTWILSA-N	BGC0000982	NPA007000	Cystothiazole A						
cytochalasin E	C[C@H]1C/C=C/[C@H]2[C@H]3[C@](O3)([C@H]([C@@H]4[C@]2(C(=O)N[C@H]4CC5=CC=CC=C5)OC(=O)O/C=C/[C@@](C1=O)(C)O)C)C	LAJXCUNOQSHRJO-ZYGJITOWSA-N	BGC0000983	NPA017108	Cytochalasin E						
cytochalasin K	C[C@H]1C/C=C/[C@H]2[C@@H](C(=C([C@@H]3[C@]2(C(=O)N[C@H]3CC4=CC=CC=C4)OC(=O)O/C=C/[C@@](C1=O)(C)O)C)C)O	WDDZJZXADGVZLS-LDTGXJKGSA-N	BGC0000983	NPA017129	Cytochalasin K						
delftibactin A	C/C=C(/C(=O)NC(CCCN(C=O)O)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC1CCCN(C1=O)O)\NC(=O)CNC(=O)C(C(C)O)NC(=O)C(C(C(=O)O)O)NC(=O)C(C)C(C(C)N)O	GCNNBBXYZHJYOR-SQFVCTCFSA-N	BGC0000984								
delftibactin B	C/C=C(/C(=O)NC(CCCN(C(=O)C)O)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC1CCCN(C1=O)O)\NC(=O)CNC(=O)C(C(C)O)NC(=O)C(C(C(=O)O)O)NC(=O)C(C)C(C(C)N)O	YHBAYFBDFCGZTI-HCDFXORVSA-N	BGC0000984								
Didemnin B	CC[C@H](C)[C@@H]1[C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]3CCCN3C(=O)C(C)O)C)CC4=CC=C(C=C4)OC)C)CC(C)C)C)C(C)C)O	KYHUYMLIVQFXRI-XYUQHQMCSA-N	BGC0000985								
Nordidemnin B			BGC0000985			Nordidemnin B	C[C@@H]1[C@@H](C(=O)N[C@@H]([C@H](CC(=O)O[C@H](C(=O)[C@@H](C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)O1)CC3=CC=C(C=C3)OC)C)CC(C)C)C)C(C)C)O)C(C)C)NC(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H]4CCCN4C(=O)[C@H](C)O	70698166			
Didemnin X			BGC0000985			Didemnin X	CCCCCCC[C@H](CC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H]2[C@@H](OC(=O)[C@@H](N(C(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@H](C(=O)[C@@H](OC(=O)C[C@@H]([C@@H](NC2=O)[C@@H](C)CC)O)C(C)C)C)CC(C)C)C)CC4=CC=C(C=C4)OC)C)O	44592545			
Didemnin Y			BGC0000985			Didemnin Y	CCCCCCC[C@H](CC(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O[C@@H](C)C(=O)N1CCC[C@H]1C(=O)N(C)[C@H](CC(C)C)C(=O)N[C@H]2[C@@H](OC(=O)[C@@H](N(C(=O)[C@@H]3CCCN3C(=O)[C@@H](NC(=O)[C@H](C(=O)[C@@H](OC(=O)C[C@@H]([C@@H](NC2=O)[C@@H](C)CC)O)C(C)C)C)CC(C)C)C)CC4=CC=C(C=C4)OC)C)O	44592546			
Dkxanthene			BGC0000986								
epothilone	C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C	QXRSDHAAWVKZLJ-PVYNADRNSA-N	BGC0000988	NPA006085	Epothilone B						
fusaridione A	C/C=C/[C@@H]1C=C[C@@H]2C[C@@H](CC[C@H]2[C@]1(C)C(=O)C3=C(N([C@H](C3=O)CO)C)O)C	SLOQQJFOWFUUMP-KNQICWOTSA-N	BGC0000992								
FK228	CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C	OHRURASPPZQGQM-UHFFFAOYSA-N	BGC0000993	NPA016792	FR901228						
FK520	CC[C@@H]1/C=C(/C[C@@H](C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC1=O)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC)C)\C	ZDQSOHOQTUFQEM-NURRSENYSA-N	BGC0000994	NPA003615	FR-900520						
